"CJ01A1_cov.sum","INRA.310_cov.sum","P10297_cov.sum","P1569_cov.sum","P1976_cov.sum"
"PITG_00002",0,0,0,0.0661230283055396,1.01175012872464
"PITG_00003",5.4211875977533,12.6628205291591,7.11579232565993,11.9047803037895,3.70729081464912
"PITG_00004",37.669408556528,55.0357100912423,35.4937902087779,71.5981145706026,24.3023850537988
"PITG_00005",3.91814312106086,6.39743929695161,4.31554361749438,6.50004295376308,2.88941507919903
"PITG_00006",0.659162833570395,1.01523542981949,0.584451271151831,0.452216007658678,0.268547695241073
"PITG_00009",4.66282953741457,5.2521686914182,4.17489416483715,7.76070315535836,3.61235833091516
"PITG_00010",7.45166992214424,8.70887672545301,5.51485074550976,10.1531000670431,4.56104758975914
"PITG_00011",39.1626146964795,38.5594882872701,33.6515468891357,60.6099753953067,16.3307120295012
"PITG_00012",46.8248959585589,60.0734920247808,42.8704925260509,78.8854118928226,29.8917815083079
"PITG_00013",36.5330999691375,41.9655907118029,30.2843646310871,60.8464900336956,22.2796379676346
"PITG_00014",52.6375741114041,66.8549656813801,48.3731855230294,91.4026946497913,31.0548868027303
"PITG_00015",14.5475103011592,18.4815666839266,14.7788235975489,28.4415307689001,10.8555310037422
"PITG_00016",28.6242138447533,24.9780633641613,25.5026943992085,51.9747304200986,13.9535511839289
"PITG_00019",3.25327700358342,4.21130836373752,1.18527106097537,6.91007529004802,0.58190737561226
"PITG_00020",46.1055492218529,47.0420654985505,40.9048795919769,81.7147386677205,27.7027901834543
"PITG_00021",40.7872215125943,52.2289833395669,38.7576256767422,74.4615142076234,25.0321317396486
"PITG_00022",54.5438728001052,60.3521457975032,50.0626106825331,88.9532293562423,31.1416460070971
"PITG_00023",62.1180027224444,59.7445445505069,49.7063217512085,87.5661100250575,33.5125367315768
"PITG_00024",30.8108266063132,34.2171878661601,26.1999628273243,54.5192553941849,18.2531152850355
"PITG_00025",40.8323225273298,43.7732650983468,32.7134414617117,63.312306564283,22.5622771588667
"PITG_00026",21.8454879273125,24.2738989058581,18.7900269628283,30.9517545613511,10.6723700145144
"PITG_00027",63.2351016206171,54.2481798309676,49.8689443803051,93.1149748748905,32.564255406147
"PITG_00028",44.6743460547079,43.2465869348913,36.6377285664666,66.5009953322475,22.3732189780519
"PITG_00029",58.3616546113642,66.2507654879436,60.4597065395333,99.9212088210114,32.9317728977914
"PITG_00030",22.9253865794115,28.6895168671197,25.3155375530336,42.2082059797919,14.9156336488885
"PITG_00031",45.1407013746913,47.8525110011449,44.2898929502811,77.2253647287506,26.3972406339385
"PITG_00032",39.2015367072271,36.2001020580388,34.33551786762,62.4834185545499,23.5704228277648
"PITG_00033",0.152576148631964,0.337928442991257,0.164546267477315,0.107475615364269,0.17213103329257
"PITG_00034",58.563192969239,63.626718019528,51.2295444956567,90.6431848124199,33.3408740769082
"PITG_00035",74.1285157090183,71.6174357676374,60.2317042326392,108.814122582255,40.6287083540849
"PITG_00036",52.8171055412649,57.5307884897075,42.7990381479156,87.3216408818001,27.5647902426621
"PITG_00037",81.7497669078888,83.4705317996909,65.5743300203215,129.295990227605,41.0570566175304
"PITG_00038",40.0390391073662,41.345425584319,37.4035994314634,69.3169645557906,22.0541029484738
"PITG_00039",41.8408662459155,37.218991587288,34.8047036466438,62.9963333690198,21.7616323116874
"PITG_00040",0.271391192075134,0.186026540463591,2.87921962313372,0.358587772539811,0.0285039622560724
"PITG_00041",0,4.52418462937176,2.70632881225349,4.85810375715983,2.67994865130238
"PITG_00042",23.5354854263831,34.1398865508666,30.1716559334466,61.3672916679357,15.1277572835965
"PITG_00043",53.0705862344525,57.0380147566928,49.3952715081607,89.4617308978666,34.3792778599019
"PITG_00044",0.254588328254878,0.984975360127785,0.455503883549384,0.743651263816692,0.162190151598041
"PITG_00045",69.2052898966227,71.9555533662093,62.3660272876559,111.350817343234,39.210957879793
"PITG_00046",45.3446839638385,51.2574389180575,40.8353060540316,78.7906066965312,26.8272199932767
"PITG_00047",46.7643096719135,47.840877795559,44.4931394757121,76.0723549144985,28.0573604673914
"PITG_00048",47.7505235665701,53.744610420118,43.153838501591,75.8301728580229,26.331437084728
"PITG_00049",64.9138559616053,64.5663630211856,56.2558147784949,101.277725325337,37.5507266972649
"PITG_00050",37.7396649070077,40.6803010737555,32.373023351777,63.7986211882897,22.2374190617685
