"X90128_cov.sum","F18_cov.sum","PIC99114_cov.sum","PIC99167_cov.sum","PIC99189_cov.sum","t30.4_cov.sum"
"PITG_00054",6.26964603263407,2.92121781166432,6.22666907138023,1.12271750281023,5.44381131396943,9.28077773041258
"PITG_00055",5.7903461369922,4.36546195600128,8.07865422354605,1.38236480319433,6.91909002153344,10.6368918075646
"PITG_00056",5.75293920025113,2.81570737189364,7.73370296009199,1.13205610265639,6.02661570616119,11.0304386663641
"PITG_00058",6.42918576596549,2.84169221163539,6.08445406947802,1.1664263923388,5.75445362666458,12.5803625880196
"PITG_00059",6.04048545507993,2.65201982614048,7.12776857129028,1.27403154855019,6.15254018304637,9.97372224983246
"PITG_00060",5.31499014194949,2.74560877187631,6.78946162131607,1.50571941697444,6.61787074969355,8.9883560637769
"PITG_00061",6.34564344136536,3.52121598545103,5.96241602681155,0.437024678615584,5.92539498564025,11.1243742820613
"PITG_00062",6.25980483646416,2.01761923182863,9.57406222141954,1.34601558043116,4.51186466692031,10.0555657842286
"PITG_00063",5.79138505060715,2.75466195086385,8.56896571056723,1.12911589776509,5.92081053736554,10.2654675102407
"PITG_00064",6.29985775498907,3.15004302097667,7.1326492528999,1.07602651460363,5.81679595193177,9.524093419629
"PITG_00065",6.19994016318429,2.73773495886791,7.60363435374832,1.11835948498935,5.89353963742282,9.7050787371895
"PITG_00066",6.04368192639337,1.99378735788077,7.42632101309736,1.11968353693389,5.57034456138872,9.64871604167257
"PITG_00067",6.16028403178826,2.6490630040937,7.17155072106741,0.96859817369393,6.16061420245721,11.0635985417382
"PITG_00068",5.98758881720542,3.09415900462651,8.32801849948852,1.42147971388495,6.55504988368935,9.62253233384043
"PITG_00069",6.47845318277591,3.35841227476249,8.91634382314701,1.40195433021814,6.69278112295324,9.54934911733576
"PITG_00070",6.93054514552496,2.94123592027852,7.13415844138959,1.30647413238759,6.4308622938661,9.61757332674605
"PITG_00071",6.41724293540491,2.36757995088141,7.35272598423753,0.993005480640897,7.08920152784618,9.62335724366282
"PITG_00072",6.356307571244,3.04232245919018,8.55616830502954,1.2529511091273,5.66017738388343,9.91795310151573
"PITG_00073",6.19116812196962,3.08190158352358,7.29587798846349,1.26613990223299,5.92189313836193,10.9807463598962
"PITG_00074",6.30166383785809,3.26304266896965,7.28750876236406,1.31477890279549,6.94705275111543,10.6884493914084
"PITG_00075",6.14049048775255,2.88761207831379,7.73840470254639,1.32894982873273,5.91329427183157,9.67049405596057
"PITG_00076",5.4262825757637,1.93450947927769,5.54174817733404,1.11828056596875,5.83847140013912,10.5947504949765
"PITG_00077",6.350431685894,2.89810207231609,7.29707619530157,1.12838220633823,5.63883076949248,10.2863490875927
"PITG_00078",6.88364769162215,3.26747845188658,8.78796595682013,1.37429437860995,5.93181158103391,9.60141775849802
"PITG_00079",5.96720362256336,2.33436524856742,6.93023765381587,0.995067081510369,5.99604058145125,9.98643961451163
"PITG_00080",6.25816511092565,2.60750799066351,7.03939782963958,1.36317525979647,6.21442855188143,9.48867690788839
"PITG_00081",5.86502886549203,3.48247582209066,7.89714248373693,1.01351478904305,6.37728851333592,9.3089540861189
"PITG_00082",6.56247714790308,3.51104029822533,8.64304622958857,1.21646330732158,5.94161175454648,9.24397962396166
"PITG_00083",5.32920792300416,2.31700021462757,5.98810586593053,0.757860188546126,5.0209617346672,9.4504358267683
"PITG_00084",5.5171194953747,2.18719354338559,5.23036050966065,0.634208987697182,4.48003026516187,7.6183917187517
"PITG_00088",4.2694360973703,1.86937409035941,4.51714953317035,0.730227888114608,4.09049057605785,5.32703440666657
"PITG_00089",3.96189017013516,1.26558640434737,3.93726400936275,0.634948858639326,3.40894173208005,6.44600177305657
"PITG_00090",4.10903145091926,1.48150908393198,3.90150698620664,0.770298622360864,3.71292954764647,5.14442873890549
"PITG_00093",5.39527800591564,0.619780300578563,0.986208312689579,0.204018703516386,3.77461746323338,5.49737041292286
"PITG_00094",7.64013669418148,1.16287738211251,2.32926313869801,0.392309245700706,5.15729239915119,9.54844006922509
"PITG_00095",7.72602969570849,0.690807340857407,1.95698763365217,0.209686136943578,4.86271534913674,8.14686288032236
"PITG_00096",9.08404345618712,0.633033356718761,1.92070080294818,0.214165645307452,6.20926266586819,10.9390915227044
"PITG_00097",10.0317425978305,0.905747824092015,2.31274604068856,0.304689056472404,7.52623553695249,11.4279223786049
"PITG_00098",7.87916614593026,0.690034900679633,1.65055773771805,0.251331305860868,6.0549411304864,9.9166246365718
"PITG_00099",7.78809525582162,0.394402407676298,1.29474038936978,0.202562648969326,4.58289095377697,8.19557263182579
"PITG_00100",6.98504771888899,1.15465551175321,2.06802650999704,0.405123548181447,4.29443246259427,6.6494236265536
"PITG_00101",8.56859177557876,1.05229415309796,1.77273591533578,0.263482330846108,7.0066614172376,10.7041432007666
"PITG_00102",9.54642023307116,0.419156942431376,1.49759056267297,0.19910684886266,6.49705552353083,8.81029282345176
"PITG_00103",7.32864774444543,0.589756640897073,1.25293590237226,0.122698551512524,4.41810043431918,7.2558300674046
"PITG_00104",9.58566586696492,0.677586249408876,2.57525185523439,0.472510938235954,7.00938902166643,8.83830130539863
"PITG_00106",8.38783177526692,0.329892813281164,1.3662783368022,0.313371914406726,4.84986469122236,6.8259386120324
"PITG_00107",6.53115130669646,1.05917086098769,7.51566034984609,0.555969354925952,4.33408868549065,5.91691664734192
"PITG_00108",7.72967936125109,2.8878373902341,5.92565453182138,0.819742582362281,5.46167094136362,8.79917354590175
"PITG_00109",6.31992546874581,3.35481103713992,8.06186629404531,1.32890390103252,5.26955430298033,9.69654028182281
"PITG_00110",7.05695430600235,3.26572711558317,7.18129977633812,1.44806565834685,6.77682234343282,9.87521849966966
"PITG_00111",5.80428006856233,3.68754123337702,7.14525143014731,1.25806208269561,4.42967777227046,9.31966176036288
"PITG_00112",3.70155991503208,0.929435190384095,3.32346270346147,0.525046617209746,3.15287878208903,6.70568741611634
"PITG_00113",2.85981978357209,2.352408637135,4.29201765733227,0.743257581487744,4.3198710750055,5.20657374170495
"PITG_00114",3.41873204655423,0.0732953413011308,2.89532701683017,0.214728977719346,2.6501055162482,5.32769916908806
"PITG_00115",4.37005550383217,1.75552706232888,4.31321775551353,0.795522104194473,2.7738233523505,5.00953739568264
"PITG_00116",6.71647002800687,2.50294688024909,6.62682744629538,1.21851677341335,6.17030591047947,10.502149498679
"PITG_00117",6.61723094908961,3.71663389865306,8.99326039671671,1.60980358761814,6.29080450539284,11.6113988537198
"PITG_00118",6.15490374684116,1.51006779958393,5.85351693998663,1.09702423445142,5.539704939077,10.9482282865716
"PITG_00119",6.12637630359449,2.05138105043659,5.81739634425254,0.785576642772176,5.5000047639225,10.3269520334738
"PITG_00121",6.88889030306204,2.17253499533131,4.80541446819362,0.838239924526044,5.38657277935096,10.5896972937767
"PITG_00122",6.63056196595193,2.17698497562604,6.8992191464248,0.970335820002375,5.23261878075399,9.70568842815739
"PITG_00123",7.71628504948892,2.59175857156374,5.16306759682719,0.704751355416649,6.90308774228435,10.4836753383092
"PITG_00124",6.68753336282916,2.71811406577119,5.8277697979794,1.06930125916831,6.32641532018649,12.1127215101617
"PITG_00125",6.25403275653869,3.26804595502157,6.48057254644234,1.13472721108608,6.20993809180206,10.9604114609326
"PITG_00126",10.0645035314967,0,0,0,9.72569608292477,8.97506456453784
"PITG_00127",6.82888412456426,2.50140651725034,6.29911208192723,1.28069268279441,5.11315415091913,10.5527330942889
"PITG_00128",8.45745200094116,3.17388676146421,7.82713486820164,1.37534359259756,7.18848815349402,9.58962939004557
"PITG_00129",7.27694842228193,2.5359119805586,6.59816425269944,1.34655953483351,5.32282736129238,10.5411671578456
"PITG_00130",7.05814965697145,3.88465512278773,7.50173603755755,1.2283259213432,5.60763075409443,11.0090004961257
"PITG_00131",5.94819404920233,1.37153847753474,4.3085810714965,0.786262622204888,5.39708255779221,10.857138745222
"PITG_00132",6.21333242855294,3.63490380081383,7.96404283510238,1.58786699710092,5.88719476799653,10.9137691772998
"PITG_00133",6.85078982591288,3.08344142670943,7.27427081966861,1.17361996998855,5.5949670201517,9.69886727268975
"PITG_00134",6.08356011656453,2.97336009958242,6.83555598354694,1.24959866442883,5.85851816084352,10.4601725451461
"PITG_00135",7.41225404843144,2.36500595945162,6.91895726246207,1.23271171583357,6.82759817927604,10.8760289401431
"PITG_00136",2.50717413214054,0.79269673890541,1.00997710222348,0.270704498393829,5.58461390135377,9.72761189699229
"PITG_00137",3.0309482103141,2.34869182069447,3.1211500373592,0.573479761012901,5.83890983626933,9.22058466675293
"PITG_00138",5.94991756913357,2.1205750215091,7.12337633703144,0.710328020444923,5.22593282177763,10.1579234936182
"PITG_00139",7.61233482647663,3.99246708680057,7.55356274993402,1.13275920822477,5.46583670169314,8.44595762880954
"PITG_00140",7.12673120064019,3.03050809440744,8.1707447283681,1.36180533899559,5.82974498775858,8.68346215621528
"PITG_00141",6.00076557244479,3.19177664404375,7.22689597137095,1.08720224593624,5.38374444606764,8.81979515161262
"PITG_00142",6.14294725088327,3.13850604080972,6.30039031537639,0.985327656789557,5.57688822638802,9.09354740967033
"PITG_00143",6.72792881887919,3.87678409704953,7.2097718400159,1.27176900899308,5.63808362210733,10.3528774656461
"PITG_00144",6.66496377712929,3.06632340393163,7.02064415205421,1.75061710970111,5.25683785168038,10.1294105751427
"PITG_00145",6.64516742817347,3.75420192185775,9.0105451090538,1.25415022986752,5.77176759313729,11.0467090476438
"PITG_00146",7.16014889541106,2.87202029603459,7.36650025596628,1.23278454869901,6.61061792187079,11.8502021180465
"PITG_00147",5.73378828331831,2.44334218693828,7.66199239344092,0.983390671903569,7.21849223327182,11.83506063654
"PITG_00148",6.63485517347209,3.41583900757378,7.40555142595305,1.13202533364169,5.50387975888294,10.0057251839483
"PITG_00149",6.21049663036016,3.18811953722041,7.78893795271871,1.11053569612602,5.10600340377445,9.02797265656895
"PITG_00150",6.19735868984172,2.43101625007861,6.76684667996237,1.16123003856645,5.63932425932782,10.8541043378746
"PITG_00151",7.65156310523776,2.68609170509529,6.45835993033378,0.894871617157208,5.43276845534212,9.06260857229884
"PITG_00152",7.85749824668809,3.88831611194266,9.2123036741949,1.50267107994931,6.28836631590918,9.73835786912142
"PITG_00153",7.01952379939554,0.789527534324722,3.91046371343946,0.934421220424002,5.72258939518443,8.29275471419882
"PITG_00154",6.90471175312208,0,0,2.0887102463419,5.97996392605314,12.2713458498765
"PITG_00155",7.609046380367,2.39950667082577,4.92736194152121,1.6270410107752,5.93721438821219,11.7198091378904
"PITG_00156",6.64349470481873,3.96260151522534,7.63217541974482,1.47211688698591,5.47733260102997,9.82407741880679
"PITG_00157",8.1304137137319,2.13034687524481,6.88110760138955,1.10156446318408,6.22062802608691,10.6023406751044
"PITG_00158",6.31464771452983,2.79786730838666,6.92815333812195,1.28141464497995,6.86052669166839,10.0400582296663
"PITG_00159",6.75669497157646,5.03409031070179,9.30110757120567,1.40049444262865,5.60121151299766,9.65962833466325
"PITG_00160",6.56996954917548,3.62721549501485,8.87236757875487,1.28845859145313,5.40896175587981,9.46634782249892
"PITG_00162",7.12146367971904,1.47863443386342,4.3828458285446,1.75623482574245,5.07204788136617,10.20563007848
"PITG_00163",6.26606063177362,3.58404579736809,7.46824053102207,1.20606358264886,5.21386998763066,10.1035325114874
"PITG_00164",7.18312714003541,3.05858283728158,6.88735084981472,1.04137254156152,5.34696056289626,9.44121132287098
"PITG_00165",7.27070652027505,2.76572122789496,8.60365357270991,1.80343942971186,5.71303167880488,9.49120879120879
"PITG_00166",7.31123556430086,2.41214498253639,7.87019134000989,1.48982390514885,6.90564133260337,9.9123252465923
"PITG_00167",6.89594859257208,3.06584004782108,7.87683357532045,1.45790707549586,6.29688717120845,11.7729939772974
"PITG_00169",6.92386770185724,3.56712982587958,7.06140005415079,1.30796340851015,6.35449797374705,10.4315359161479
"PITG_00170",7.83579695026647,2.81047954985311,6.98950977870945,1.23917462347494,6.88766003281402,12.2633219806197
"PITG_00171",7.12418340266351,3.12546097338685,8.28212027102817,1.53406906365782,5.96622463582144,12.6582242185302
"PITG_00172",7.02667415535742,3.1770636356486,8.16050332330344,1.68324986101146,5.87553177601518,11.9384057814626
"PITG_00173",7.68352521792618,3.26781289769826,9.73928265413901,1.65691846701896,6.60555658530485,10.4252728077054
"PITG_00174",6.22592408337355,2.7477363685951,8.32136757685267,1.17046228165628,5.93147758505351,10.3620382022882
"PITG_00175",7.03659129682786,4.52148169523943,14.7391508077041,1.78515570779199,6.13689653492311,10.9435608675061
"PITG_00176",6.94238649167529,3.25658012453447,7.94105718124308,1.47063483684239,5.59149112272216,10.178351784042
"PITG_00177",6.63973313586801,2.41435742760904,6.89989730543782,1.20987851691825,4.82304455187831,8.87962653980712
"PITG_00178",6.3548304594419,2.75737077519916,8.09728329227173,1.01462662091997,6.31262378009101,10.2506696091423
"PITG_00179",7.03402245031232,2.14558750007925,7.3477801493189,1.09502422826875,6.09682922295619,9.87205056344272
"PITG_00180",7.57266785183239,2.9686262478355,8.60830721862086,1.53580181083152,5.8831498413345,11.4886575725777
"PITG_00181",6.85573286639197,2.41834152720121,6.96551214754946,1.83041271511661,6.21514650429481,10.966170883206
"PITG_00182",6.77602796535141,2.39417768033018,4.74197882353884,2.14582063444886,5.14216124525419,9.9085155581886
"PITG_00183",7.0488927020337,3.79286706490498,9.28318329394241,1.38096172635305,5.09191183762245,9.49120879120879
"PITG_00184",6.67787588025552,2.96252419871924,6.9144670152746,1.31167297142424,5.35696211487006,9.623162325777
"PITG_00185",7.05246614435486,3.86287127152348,9.18883668815637,1.54126272989457,6.37181542676578,9.92489890669076
"PITG_00186",6.66005612821697,3.33391020340983,6.22880294282229,1.17601274143272,6.02999485572357,10.3204693169443
"PITG_00187",7.03952326646147,3.69545750064465,8.68190447969472,1.33246609782218,5.90347931094568,11.0823219384641
"PITG_00188",8.07671565281815,3.31940474990276,9.12192147500382,1.33857553358672,5.99697759625727,10.6468291938065
"PITG_00189",7.32851149049761,2.75310971988405,7.47219856377914,1.31477335782475,5.86678136096557,10.466180201923
"PITG_00190",7.63464315878087,2.61567429291429,7.57663876599111,1.39767811181354,6.66328675712904,11.6057112147215
"PITG_00191",6.98210381363484,3.4929100408789,9.16921391574149,1.35800898087085,7.7643753322897,11.9899825587587
"PITG_00192",6.88206959859322,3.03104856839769,7.52804417905003,1.216280425824,5.57482376221349,10.5509770020404
"PITG_00193",7.23670260611661,3.13270535836519,8.77270064152451,1.64882190505819,5.73667176140389,10.2508358318318
"PITG_00194",6.92717871828322,2.8141042777038,7.59005445859585,1.02957224748937,6.08002854046926,10.7408394492574
"PITG_00195",5.99665877128565,1.86979901125839,5.11755518590146,1.09923241621364,4.63846423818551,6.80462941999611
"PITG_00196",10.3417017878306,1.54501766620383,6.28696971585659,1.18382996342671,6.6210287660193,11.1833473549072
"PITG_00197",6.75497834078234,3.13188085407571,8.12630735735878,1.09723993866277,5.62745103134049,10.0083064119122
"PITG_00198",6.22753039748569,0.156151734461279,11.0183562270816,1.28531638216546,7.23700710582164,9.96155258931166
"PITG_00200",7.41731583150449,1.98009966423539,5.69127848915489,0.92165116187347,5.84122940742839,10.1946075062415
"PITG_00201",7.27904011448176,2.22597285618993,7.80450707831752,1.32314765995256,5.90845072295788,10.5870848709461
"PITG_00202",7.68831529950181,2.72453078830716,10.0642172508956,1.83841836127403,5.82564083017876,11.0856561586439
"PITG_00203",7.70738765876548,3.21053226196195,8.24729096790117,1.28422794071652,5.87968796356431,10.5483221090097
"PITG_00204",7.15498918228505,2.93717459361879,8.05611993380843,1.04550980658083,5.78731524830357,11.441744818602
"PITG_00205",5.89191307032101,2.62585692606507,6.5326416323359,1.2489341777781,6.85592530646526,10.5916871395767
"PITG_00206",7.37452355369706,3.43604532405702,8.4304315997361,1.48835346277961,6.04621780860831,10.5620093469886
"PITG_00207",7.55307679854053,3.39460005456815,7.49192792075853,1.12301656990681,6.52001666824275,9.35956088651857
"PITG_00208",7.50134667265701,3.74035508426761,8.3420646986941,1.52191958397038,6.55703143086483,11.5739192413348
"PITG_00209",6.19463833415707,3.24171826343725,7.66298067517322,1.40780200631868,6.32827045423271,10.667059997327
"PITG_00210",7.48047955941538,3.52955381356503,7.59093327608545,1.27672942301017,5.26569181658108,11.2036440197509
"PITG_00211",7.25931871568905,3.16986133658052,7.16492041365306,0.692951941795826,6.85411220662871,12.1989416708105
"PITG_00212",6.80469896057757,2.93834622252546,7.08107185015179,1.01358530864415,6.07536837593417,10.4565670218959
"PITG_00213",7.73557325424931,2.01763374806889,5.96698533197111,0.848515636817231,6.24013141809298,10.8034732617324
"PITG_00214",7.78166397166339,1.99671038845028,7.50786823826382,0.973529132748425,5.29529481562292,11.2439923158817
"PITG_00215",7.25756265977236,3.15643320392664,7.07589596261966,1.17008683813867,5.9015045988365,9.94841956805564
"PITG_00216",6.48530637876407,2.15278563630931,6.86787558203993,1.02708293287483,5.9991319624689,10.49233228682
"PITG_00217",7.54993770683371,2.73594459693975,7.32289012814611,0.924805602955038,5.87762080925237,10.4672148582122
"PITG_00218",6.97057109006731,1.97346788817175,6.95256129759695,1.13816928972632,5.57597158871698,8.62175347886459
"PITG_00219",8.28011090600914,2.61631184461782,7.39670100672764,1.33874679446201,6.35013802207226,11.6139082594253
"PITG_00220",6.94444676712595,4.01914477460587,8.09918648210065,1.07421501041531,5.44215600292796,11.7342030008607
"PITG_00221",5.98819592776437,1.94514072138567,5.67407265607572,1.02039780187338,6.68730069286076,10.2940478346687
"PITG_00222",6.6180150731444,3.18778164836383,8.76127813283709,1.07994618205897,7.5810092067671,10.5077625372153
"PITG_00223",6.41046693848918,3.40917378379137,7.71817120569953,1.14528561605256,5.68160545189558,9.635571378725
"PITG_00224",6.75495994936984,3.40420845057741,6.90315298733187,1.26153910013731,5.90653042482061,10.3436414184321
"PITG_00225",6.61378378153595,2.82348991575634,7.78666331153016,1.06048936554241,5.66154820190817,8.88410359848135
"PITG_00226",6.58816656542466,3.05212121306641,7.02632607381822,1.20855448633591,5.28732995018079,9.34697276112936
"PITG_00227",7.00610120982946,3.51012999473761,8.86486797047886,1.12782142428978,5.65669124350837,9.26479870891464
"PITG_00228",5.77099954224157,3.70122938280797,7.90479456001846,1.33006912446782,5.5240625817951,10.2176622133208
"PITG_00229",7.12437625438635,2.83089402996399,7.38632328912362,1.15598386540856,5.54503312787706,10.4613941608538
"PITG_00230",7.03006073601008,4.2680278788208,9.00546419099673,1.62638713482812,5.10904210621302,9.69144660738136
"PITG_00231",6.69743327872461,2.81568535428883,6.70911326957876,1.08396809039143,5.37798982127923,9.74824647436264
"PITG_00232",6.35893942080742,2.47254873969296,8.06841366455303,1.42457312635291,4.53648018118289,8.50698165525245
"PITG_00233",6.02903561973349,3.04388530497401,8.11812053200313,1.33999283311067,5.56382104893595,10.1067622719666
"PITG_00234",7.12374803150723,2.88697378226787,6.79532508212112,1.18616302838068,6.72397319867641,11.123769519579
"PITG_00235",7.48668774373003,3.02288437633129,7.77183945555956,1.28969061302687,6.68035907398784,12.8921265306949
"PITG_00236",7.33320959860465,3.45175336094452,8.58225481897311,1.63602618018868,5.96812876532974,11.6909448848914
"PITG_00237",5.89908966981153,2.71841866506344,7.07901614860245,0.984718482060704,5.3361612112126,10.7514997387947
"PITG_00238",6.92667921027257,3.2734096939926,7.02728537122087,0.999868786030604,6.033696064955,9.70090512554364
"PITG_00240",7.00059540122183,1.16950303443361,0,0.506820659052046,6.19583194217639,9.24083178943264
"PITG_00241",6.19553322083592,2.30576002344512,6.03861076689738,0.661586368994633,4.52058127595979,8.56604015206053
"PITG_00244",5.11790066592677,0.0105623939765173,2.40306568236109,0.205167253684262,4.18249492100566,7.39068519828272
"PITG_00245",6.46963530800789,2.34870764704329,6.35874798696022,0.863172018666307,5.41726546964429,9.14423168620804
"PITG_00246",9.16983743980203,0.552492225348103,6.06006079016361,1.18384023060292,6.66779136199231,9.48011585473158
"PITG_00247",6.16634328724314,0.775677239072437,4.5719925818389,0.898586611753729,4.59841779354884,7.32306610332194
"PITG_00248",5.97596823832052,2.3377717534711,6.43328425871501,1.16299626595104,5.83402386742766,9.41802951663843
"PITG_00249",6.13879825577067,3.05382910173953,8.33952638923741,1.27556244461779,5.70838466784113,8.51072532134098
"PITG_00250",5.63920031538342,3.72980494581781,7.60218274156059,1.14598304778804,5.56042768913308,9.15943129131022
"PITG_00251",6.9444152570462,2.45375811601517,6.69227263129304,0.900082228662267,4.75827379359913,9.4691609464073
"PITG_00252",6.56359147679699,3.22896139637968,7.4163751312447,1.32497873456335,5.84609781776168,10.5399613821173
"PITG_00253",7.48747443123126,3.92538243180618,7.96472528847764,1.39294874983272,5.88879987820439,10.3895178192223
"PITG_00254",6.25677877685152,2.99053190526036,7.24364594078481,1.07735973133405,5.3893705990873,9.76771845313791
"PITG_00255",6.85226461531602,2.6143532637612,7.50098094274255,1.40476870683101,4.58630320975572,10.9251172963948
"PITG_00256",7.03996211213942,2.29522508941795,5.76322451951232,1.21170941864442,5.46615551678838,9.55243667850648
"PITG_00257",6.81023069077027,3.33211276806159,8.02960016190606,1.26683401432075,5.80521310529075,9.70087697189339
"PITG_00258",5.04152515724706,2.13024607884464,6.2906025633133,1.30568334915393,7.28391377044862,13.3523938859251
"PITG_00259",6.34437203266622,2.70689439059019,8.21579869158266,1.35159616320781,5.12279006754821,9.57931571177138
"PITG_00260",6.15836454447305,2.34723502134248,7.02362844852292,1.05723104846023,5.68092170544272,11.2377756572543
"PITG_00261",6.57002278463404,2.49773059109949,7.41172876475687,0.944055045027427,6.02250742536584,11.0248692525142
"PITG_00262",6.6490068971592,2.56061248069237,7.8489948606672,1.19053188227271,5.73585501585258,9.42463564852387
"PITG_00263",6.87623923277057,3.57724415428354,8.01777583167739,1.4947330036736,5.98801494184845,9.72181751495473
"PITG_00264",6.85528347125007,3.42969207295564,7.22403321074765,1.2426514381395,6.23831885864862,9.95472595269592
"PITG_00265",6.96543083487279,3.00226286277166,7.81566985656143,1.22059756826833,5.29607485419193,11.0375622692547
"PITG_00266",7.99052131151763,3.53011535502077,7.58827132420169,1.27651817249755,5.16608915979845,10.1231161525027
