"BL2009P4_1x.cov","BL2009P4_cov.sum","BL2009P4_cov.sd","IN2009T1_1x.cov","IN2009T1_cov.sum","IN2009T1_cov.sd","Pi1845A_1x.cov","Pi1845A_cov.sum","Pi1845A_cov.sd","Pi1845B_1x.cov","Pi1845B_cov.sum","Pi1845B_cov.sd","Pi1876_1x.cov","Pi1876_cov.sum","Pi1876_cov.sd","Pi1882_1x.cov","Pi1882_cov.sum","Pi1882_cov.sd","Pi1889_1x.cov","Pi1889_cov.sum","Pi1889_cov.sd","RS2009P1_1x.cov","RS2009P1_cov.sum","RS2009P1_cov.sd"
"PITG_00048",1230,29169,3.53119730723054,1230,25590,4.09559992632027,1228,8243,4.21295386479097,575,796,0.832059529076556,828,1683,1.48279073377128,752,936,0.735990296299886,1230,22987,6.44925996917832,1230,37820,6.25325756724917
"PITG_00049",1998,45551,4.20158745152071,1998,47765,5.53069904685831,1983,9376,2.91520226794835,831,1468,1.02727193875767,1253,3159,1.63223120313366,1048,1797,1.04787246107609,1998,34408,6.28445316933514,1998,70083,7.72801560749825
"PITG_00050",1919,46383,5.35775770915296,1919,42415,4.01397301653994,1852,11861,3.66963800903702,1071,1546,0.884491340464724,1431,3150,1.60605901070585,1105,1693,0.980887229573407,1919,31139,6.06887793866404,1919,57349,5.33035597784219
"PITG_00051",1293,32561,4.64439181939162,1293,39208,7.64604297264158,1254,6109,3.20337271291565,675,1069,1.10836745836057,1025,2824,1.7387835597941,684,896,0.756348750758062,1293,21427,6.44533050533255,1293,45184,6.09795563587748
"PITG_00052",2870,62568,4.45871025176474,2870,71065,3.74396258359254,2861,20866,3.00181091958367,1450,2382,1.04799814091036,1655,3698,1.48808683384336,1395,2032,0.901050020573575,2870,51084,6.65104940671929,2870,82293,5.24230211112876
"PITG_00053",1250,28640,4.4809283608623,1250,31116,8.84361214326999,1231,7893,3.66244227623336,689,1219,1.07457374199335,818,1743,1.30422752906004,671,976,0.867498358916129,1250,26642,7.09385037977039,1250,39584,4.35453944419118
"PITG_00054",911,20320,6.12014918944073,911,22249,5.18135861751681,867,5821,4.17299836964492,588,1111,1.13102705750061,494,1037,1.31707843379839,437,568,0.749987032613679,911,13914,6.74910997975821,911,29033,5.21214300101521
"PITG_00055",1335,30241,4.10677664157905,1335,36394,5.56869080783387,1335,7557,2.02297252478273,724,1211,1.01358182880859,817,2026,1.88247984902894,556,891,0.9673580244297,1335,20553,6.7206618816317,1335,39239,6.6096066728694
"PITG_00056",1552,36330,4.42758247917557,1539,37693,5.08961639831422,1501,7030,2.8696860006039,730,1177,0.9488501671744,1101,2388,1.47877317117708,881,1026,0.647232556032374,1552,35184,24.2449499255946,1552,48934,6.12173078046637
"PITG_00058",519,13063,5.35299847378766,513,12573,5.8297307959623,519,4001,3.90946466562562,350,450,0.708234235835578,107,229,0.887447437988872,235,279,0.64726532104772,519,10723,7.85465408014332,519,15950,6.48844720876051
"PITG_00059",936,21528,4.30520143062886,936,24681,6.19675924777017,919,5841,3.09301670950575,373,746,1.13450105593436,830,2069,2.34361971353524,403,567,0.816624620794362,936,17234,6.91636950291647,936,27232,4.16885915166793
"PITG_00060",647,16181,5.40352258093075,647,18398,5.91151053534295,644,3454,2.93343903554317,446,789,1.02509881825945,589,1568,1.59331172998707,174,189,0.503532104843183,647,13689,7.67246692086654,647,22709,4.06709769459328
"PITG_00061",321,6730,4.44783059934823,321,7705,3.85154063522605,283,2320,4.11643001955809,274,501,1.00477830353384,166,306,1.31136744638536,198,303,0.842226688245227,321,4066,6.19256947209046,321,11169,3.04878557100101
"PITG_00062",312,10964,3.79447680848681,312,10528,3.60933372884757,312,2689,1.98354337160364,288,767,1.47373394717382,186,301,1.04652568588296,143,155,0.572681386679241,312,6204,5.3818338457178,312,10391,5.2531031153663
"PITG_00063",1520,39471,4.88090017995114,1520,43061,6.0618855749351,1447,8559,3.26288872995581,749,1349,1.17123818279744,809,1899,1.62447121940129,667,1067,0.896189754278107,1513,24374,7.50940080478928,1520,49608,7.44209761296585
"PITG_00064",1572,37160,4.60030500523689,1568,41523,6.19754404492335,1490,8629,3.86523588895305,997,1963,1.33353825868549,859,2012,1.76117777553639,886,1188,0.801096667676708,1572,28175,7.04508019292479,1572,43198,6.84735582043939
"PITG_00065",2385,57314,6.27427179600519,2385,53762,4.58870892085249,2379,18028,3.98760522812588,1267,1957,0.965250535036288,1356,2791,1.50570592225522,1225,1661,0.793275985794869,2385,45143,7.44717402279607,2385,72732,5.35862394427601
"PITG_00066",3837,91627,5.88381629926981,3837,102950,5.88597833845719,3498,21184,3.71317726205199,1979,3287,1.04352144634217,2581,5394,1.41542886899569,1454,1958,0.747404854465862,3837,70095,11.7075397549253,3837,125949,6.57947142455847
"PITG_00067",2386,54982,5.38152234624958,2386,53233,4.60948224432776,2246,16728,3.41286975285501,1482,2810,1.35093008009514,1374,2691,1.50108446531348,774,933,0.614352470108389,2386,46542,7.75322765546924,2386,63960,6.60894962645217
"PITG_00068",888,23021,4.26172298175167,888,23500,5.14226543968108,871,4093,2.58113096683578,412,928,1.52919657420766,428,632,0.912272703817779,377,571,0.849322770009698,888,16932,6.03110557338939,888,23927,4.15623520280943
"PITG_00069",1759,47881,5.95787330102465,1759,49496,6.48706394109288,1583,10475,4.84688492677188,810,1295,0.976283957726046,1506,3142,1.13523239661701,1097,1467,0.779985343047851,1759,26965,4.89088882523475,1759,53410,3.81431502391267
"PITG_00070",2152,53301,6.5589375753932,2152,60967,5.94411023817129,2141,14074,3.29648836142052,1156,2242,1.21898740462938,1387,2910,1.39385136040904,1088,1353,0.707384592366127,2152,47273,6.91035301992668,2152,58795,4.69433530118896
"PITG_00071",1030,24466,3.37333093837846,1030,26547,4.94992340577524,1000,6435,3.62502222533166,723,1325,1.23855683784055,731,1632,1.56869008643504,435,742,1.02707366605828,1030,18798,5.60849130259072,1030,30416,9.18847923337949
"PITG_00072",5143,119119,5.14160124653462,5133,126185,5.18865450618325,5037,27921,3.64070508872896,2428,4090,1.05812102874067,3420,7598,1.66791857248,2753,3548,0.77597254993064,5136,92601,7.86255149045665,5141,162244,6.74126573608892
"PITG_00073",1539,35606,6.64689067017371,1539,41054,5.44073196867356,1503,9121,2.88945698593305,781,1012,0.725057421716465,901,1766,1.40626451589004,748,1001,0.824655512059597,1539,32081,7.81179771489011,1539,50698,7.31627384036985
"PITG_00074",1263,28304,6.1481672553644,1263,31168,5.69690360012425,1261,11161,4.88621728547408,871,1454,1.11328086887969,788,2405,2.05035804520881,446,639,0.915488084894562,1263,25720,16.0938822129386,1263,38095,4.9154278654767
"PITG_00075",4353,97787,4.54953069939476,4353,118006,4.44485119996556,4212,23356,3.25598633339422,1816,2578,0.832643065221324,3147,8411,1.81769084535584,2400,3735,0.991028446833905,4353,79906,6.62386672741038,4353,149798,5.68612600811684
"PITG_00076",680,16997,4.56357267168589,680,17994,4.61428368928198,573,2430,3.0388557670961,176,176,0.438310887615796,496,1443,1.99294378132782,249,316,0.702565193780434,680,10981,4.12863817859322,680,23867,6.28020225763289
"PITG_00077",4536,93162,5.99561260752749,4536,102759,4.35898200111365,4385,29157,3.67129052373393,1883,3508,1.16726982202821,2927,6265,1.55544015689982,2216,2855,0.777017850599078,4536,83925,8.02081061352867,4536,136093,6.82838880401271
"PITG_00078",2754,55552,4.90613326249027,2751,68647,5.62142768427769,2731,21750,3.3281114058286,1923,3539,1.18858287779787,1506,3885,1.82313961263125,1386,1743,0.725203849774919,2753,52600,6.44338103823525,2753,79706,4.40373914158654
"PITG_00079",1155,34066,4.90593611889698,1155,32533,6.80711918236107,1146,5871,2.23762159787335,455,732,0.996563904632596,675,1990,1.68933395532126,609,905,0.921478469685053,1155,22275,5.49788948680411,1155,37397,6.44021020750582
"PITG_00080",1285,29547,5.55024838731263,1285,35076,7.08251512085268,1215,7296,3.04056401284775,791,1247,1.00267409772818,767,1369,1.17426617551018,690,753,0.583887938349461,1285,26966,6.11269547758375,1285,42102,6.37493835456072
"PITG_00081",2507,58676,4.25841548070629,2507,62894,5.82046740807792,2488,15675,3.08635826013562,1362,2101,0.983553848409192,1683,4724,1.85405811559646,1059,1419,0.744713877638045,2507,49624,10.5165053827074,2507,72226,7.62379195147991
"PITG_00082",2168,51923,5.97261555080709,2168,57288,4.8902865636523,2070,10395,2.86342401193932,1364,2458,1.13736076894211,1623,4426,1.97168042305286,1288,1899,0.86984639070101,2168,40024,7.36862307935349,2168,65317,4.71512448299025
"PITG_00083",957,22176,4.84558114318675,957,19541,3.98545654696666,957,5634,2.78966486046423,774,1439,1.25895835919637,691,1808,1.74476477630649,326,461,0.732487300895731,957,17700,12.6571803442913,957,29988,8.79231127795038
"PITG_00084",1606,40189,8.40686757265321,1600,37277,8.07146594114971,1363,5872,2.92420039734407,559,947,1.00422423009919,1101,2558,1.86385127262819,862,1112,0.729463303986721,1557,21783,7.10214840880787,1606,51192,11.1166315691997
"PITG_00088",1347,15310,4.00766008107055,1347,21725,3.62228337462226,1332,8366,2.87042118773167,849,1337,1.04288638242597,275,569,0.869938303806642,424,585,0.732870464273667,1347,19297,9.83488974447582,1347,30118,4.67233094953278
"PITG_00089",955,11882,4.67155231758152,955,18700,6.63676160050308,949,5288,3.23817480465546,473,781,1.00538246537129,589,1018,1.14047140712018,384,508,0.763265573487527,955,13429,5.19830594218698,955,18909,6.04029099497559
"PITG_00090",980,10060,3.99399707990931,980,18470,6.83805377160618,961,4475,3.15883390509047,269,306,0.539031270092353,464,971,1.21655139226808,246,300,0.568282599304465,980,10388,5.35894429558918,980,18650,6.67921643675686
"PITG_00093",716,4904,5.66648366843771,736,9221,8.45793243147629,704,5312,5.56606868307002,341,818,1.41894371472569,453,1314,2.12618971147109,254,293,0.572152139006949,731,9868,8.03329111133408,802,5635,3.44693590900806
"PITG_00094",3912,56089,9.20349437058378,3514,48327,11.1620764039247,3995,26894,4.84491831825472,2107,3961,1.18312571062439,3302,8962,1.89336786708787,2682,4623,1.17842232893201,4373,83829,10.7672429583535,3810,57569,11.2888069912682
"PITG_00095",1677,29088,7.15946406066877,1666,25930,8.85105383734585,1623,18972,6.88577416245895,881,2023,1.59005448892316,1155,2905,1.86880138119134,666,1010,0.852001678789244,1672,37735,12.9375529765667,1680,34575,11.2118893699246
"PITG_00096",749,17015,13.7350472941352,742,16215,12.9636772556369,861,13942,9.75403937939862,646,1519,1.96272278878024,430,1183,1.94694089466103,516,1004,1.17416733914172,897,22692,15.0052274821797,791,13082,12.9815975129934
"PITG_00097",7938,254846,14.1988021095214,7925,230975,11.8810893972471,7620,68390,6.43444381355726,4555,8053,1.30237556549892,6527,25261,2.39464281764357,5795,12431,1.3827556719006,7919,211129,13.2104630983521,7920,288967,17.6129070176046
"PITG_00098",3677,88889,14.2907898582002,3323,98540,19.2020106604653,3370,28352,5.99805269051749,1789,2750,0.909581473150262,2704,7621,1.95387593536433,2243,4690,1.45347901828109,3596,72650,10.7519588495503,3443,114747,24.4472011935314
"PITG_00099",1146,21631,6.2151495568091,1141,38742,14.1160812864597,1063,11646,8.82532142583369,671,1108,1.27684790827642,877,2303,1.58455824030117,721,1324,1.11533672458416,1130,23557,10.2180132845782,1141,31240,10.8699541663968
"PITG_00100",740,8828,7.46315007036578,642,10287,12.0777831827229,808,5729,6.33730735368292,321,547,1.01470962935437,501,1383,1.7611855588106,254,315,0.611665756082458,817,8829,9.69903472584145,665,13025,12.5620296544486
"PITG_00101",6796,204012,14.316764570815,6796,251686,19.3695707545429,5903,52522,6.54447140796246,3299,6148,1.17367576445755,5719,16550,1.92059105503036,4794,9183,1.24949435644489,6731,165808,14.6793249082768,6785,266384,21.2528759626154
"PITG_00102",847,29647,10.6840502894737,847,26009,19.9615287812987,847,13144,8.90078398224656,560,1513,2.00717422877233,504,1553,2.15079504377103,513,744,0.868733634669265,847,20921,11.317877967542,847,33917,24.4403404392953
"PITG_00103",1544,24745,11.7158961475246,1155,17177,10.8588719061794,1360,16168,7.86383070578488,613,1243,1.30359413924113,858,2224,1.8054710837566,596,842,0.783645418632635,1346,25024,13.188741356426,1066,20291,15.4062627115402
"PITG_00104",2318,58283,11.7889870881004,2318,55140,16.4376586384033,2227,24833,9.23907329323982,1443,3762,1.94313405822448,1830,5132,2.17866881614875,1592,2546,0.972113051696744,2318,63668,11.6330186204342,2318,91647,15.7177619359602
"PITG_00106",1111,19905,5.4309104575346,1059,15912,9.97016454019874,1038,11741,9.77414401505117,386,812,1.18341811132879,962,3135,2.3990825707632,754,1234,1.09601347161356,1111,25421,8.89996036187565,1111,21171,8.21800594245801
"PITG_00107",1206,11838,5.27367370657164,1183,14202,7.80756200863142,1063,10804,9.24409494818002,629,1100,1.18040519277728,617,1294,1.50439706624603,513,733,0.783663816534615,1240,19035,8.32016518800783,1144,15382,6.52070262250681
"PITG_00108",1037,26128,5.53047552979646,1037,23727,7.64001686744558,980,4619,2.80634179991079,314,317,0.467161427391745,717,1362,1.32292807470134,593,773,0.737044304949187,1037,18194,6.55369600831823,1037,35514,12.1963822376016
"PITG_00109",1557,41409,5.4846764043481,1557,41099,5.53468256093809,1536,9235,3.31135449772888,1100,1922,1.02332527004455,866,1870,1.36096856950491,749,1036,0.811495215225546,1557,35199,15.0294792818989,1557,51545,6.0799475370369
"PITG_00110",823,23322,4.84781722462021,823,18958,4.21559757690533,711,3912,4.0784473440897,471,990,1.25618324771633,636,1150,1.00308169869344,445,546,0.685058771079378,823,11758,4.26413858885943,823,32632,4.68564322472321
"PITG_00111",2127,52957,11.0821651024852,2116,53665,11.174272250575,1716,8464,3.47327926003378,922,1399,0.869936422191692,1253,2634,1.27745093803835,993,1251,0.695310190889597,2107,28314,6.02142391602288,2151,77280,11.321572045343
"PITG_00112",548,8437,5.70497572490228,548,9164,6.04006117262302,546,4123,3.55389211822844,413,626,0.851815793850179,143,213,0.762716512868918,235,384,0.947352423500871,548,6787,4.83129599822155,548,11566,12.1214045585247
"PITG_00113",782,16593,4.69527337681979,782,19063,4.34311305737504,716,3406,3.49119458577172,347,489,0.775107831973455,578,1330,1.30692019024287,287,400,0.743212064901592,782,12554,5.6873001641272,782,15166,8.09678099021069
"PITG_00114",811,15030,2.85663276130782,811,15324,4.75655379520059,730,6474,7.36355375179859,355,663,1.26539476526158,415,1136,2.05863419786559,208,252,0.57702586840703,791,7707,8.27511085252407,663,2266,2.04051905482944
"PITG_00115",1413,23178,6.71021290948042,1402,27962,9.23417228501427,1265,5274,3.1652861016735,430,675,0.772466970195454,645,930,0.822788945936455,275,311,0.471983628335772,1411,15050,5.97557533350319,1413,27414,9.42254385257438
"PITG_00116",2368,58847,6.44158627820057,2368,51277,4.8731149635158,2345,14411,3.52572761238537,1785,3449,1.2565871806669,1548,3086,1.42170625398744,1292,1833,0.86964681050625,2368,42728,7.50370792534108,2368,83219,7.221537202412
"PITG_00117",1905,61189,6.49755415829075,1905,56788,6.20048497436918,1775,8542,2.95624265413748,1017,1474,0.929072814229166,1232,2562,1.37168481141331,882,1190,0.765127694328138,1905,35344,6.96920152924467,1905,78735,7.34881419946725
"PITG_00118",624,16357,5.99714381504615,624,17510,6.04951292063614,594,3369,3.43470144755426,336,582,1.04257142664271,315,766,1.55048063662595,191,231,0.609562083848671,624,8468,7.28472724959274,624,26843,7.10941840093748
"PITG_00119",1089,30073,5.38070720946625,1089,30349,6.04336521086517,1047,6639,3.15104966653531,665,988,0.893004208860226,406,749,1.08881663307226,562,651,0.64013635290928,1089,16307,4.49236280780303,1089,33101,5.63442189422344
"PITG_00121",1146,18313,5.06572853444026,1146,23617,3.08214790656336,1146,9540,2.5444941970926,932,1608,1.14523836351093,806,1613,1.2992088497821,190,223,0.463145178218514,1146,23162,7.27878397116089,1146,37943,7.09494965343353
"PITG_00122",864,13575,3.45325338789218,864,20424,3.87572492876434,863,4601,3.41790153914511,443,524,0.684375961152638,482,728,0.857515741838077,420,801,1.32818900653482,864,15299,6.89374038108367,864,27132,5.56035392111692
"PITG_00123",453,5249,4.9034496028587,453,10376,3.42392620021931,438,3122,3.26746491109578,229,583,1.45180171609638,320,657,1.22666939737938,240,277,0.633888667695426,453,7230,5.15582082943614,453,11499,5.59732188705739
"PITG_00124",1093,18328,3.95191303056484,1093,27915,5.13191539652639,1093,6588,2.91723070080934,623,937,1.09933990984045,693,1331,1.35135790590285,416,574,0.742827792360574,1093,19658,7.0684620306154,1093,38552,7.13990850331781
"PITG_00125",1671,23533,4.67682766878056,1671,37459,6.28229479110464,1572,14489,4.90429181934014,1173,2390,1.27284578323786,824,1924,1.52713857021241,863,1126,0.766533200936655,1671,33070,7.99396069214516,1671,54907,7.80030204621854
"PITG_00126",237,7142,6.61843833188335,237,5805,2.24480615818721,237,4144,8.45456408488386,218,721,1.35855428372567,196,619,1.85523414373992,219,714,1.97544462418093,237,8137,4.23197406889196,237,10622,11.3408662405368
